source,date,headline,url,chosen_label,positive,negative,neutral,compound
Global,2024-04-04,"Developer, mayor mystified why affordable housing development in Mission was rejected",https://globalnews.ca/news/10403768/affordable-housing-mission-rejected/,negative,0.021569893,0.5748747,0.40355545,-0.33001562578720467
Global,2024-04-04,Blast of wintry weather blankets Calgary and area,https://globalnews.ca/video/10404146/blast-of-wintry-weather-blankets-calgary-and-area/,negative,0.043760695,0.32784888,0.62839043,-0.10556989135312023
Global,2024-04-04,Kelowna to use ‘trenchless’ repair to fix deteriorated sewer pipe,https://globalnews.ca/news/10404103/kelowna-trenchless-repair-sewer-pipe/,neutral,0.036506705,0.14378116,0.81971216,-0.019340278726442506
Global,2024-04-04,Premier Ford says he only wants ‘Ontario students’ at medical schools,https://globalnews.ca/news/10400024/ontario-students-universities-ford-comments/,neutral,0.032605335,0.1408098,0.82658494,-0.01876428501924643
Global,2024-04-04,8 cruise ship passengers stranded in Africa after arriving late to boarding,https://globalnews.ca/news/10398017/cruise-ship-passengers-stranded-africa-late-norwegian-cruise-line/,negative,0.0070955055,0.7346143,0.25829008,-0.5396079070502324
Global,2024-04-04,Don Hankey: Meet the billionaire whose firm bailed out Donald Trump with US$175M,https://globalnews.ca/news/10399773/don-hankey-donald-trump-billionaire-bond/,neutral,0.111908786,0.07073406,0.8173571,0.007520270182733491
Global,2024-04-04,"Deadline passes for Gondek recall petition, results to be made public in 45 days",https://globalnews.ca/news/10403850/recall-gondek-petition-deadline/,neutral,0.05464593,0.012517285,0.9328368,0.0028294958233008316
Global,2024-04-04,"CSIS intel suggests China attempted to funnel $250K, possibly for election interference",https://globalnews.ca/news/10403834/csis-summary-china/,negative,0.016933197,0.33858013,0.6444866,-0.11434979128388534
Global,2024-04-04,Affordable housing announcements get mixed reviews in Edmonton,https://globalnews.ca/news/10403210/affordable-housing-announcements-get-mixed-reviews-in-edmonton/,negative,0.02103222,0.43367434,0.5452935,-0.1876310506257326
Global,2024-04-04,Several changes coming to B.C. Police Act,https://globalnews.ca/video/10404319/several-changes-coming-to-b-c-police-act/,neutral,0.08814766,0.012616121,0.8992362,0.0076108450529375204
Global,2024-04-04,Whistler prepares for wildfire season,https://globalnews.ca/video/10404321/whistler-prepares-for-wildfire-season/,neutral,0.06478246,0.07131855,0.86389905,-0.0008895678923726003
Global,2024-04-04,Mom of boy killed in Edmonton dog attack shares devastating grief,https://globalnews.ca/video/10404045/mom-of-boy-killed-in-edmonton-dog-attack-shares-devastating-grief/,negative,0.014094334,0.74336505,0.24254054,-0.5523929893025041
Global,2024-04-04,U of C Dinos baseball team finding ways to win,https://globalnews.ca/video/10404290/u-of-c-dinos-baseball-team-finding-ways-to-win/,positive,0.7731639,0.004469047,0.22236699,0.5977625124896235
Global,2024-04-04,Global News Hour at 6 Calgary: April 4,https://globalnews.ca/video/10404285/global-news-hour-at-6-calgary-april-4-4/,neutral,0.039549895,0.010047966,0.95040226,0.0014632290527600844
Global,2024-04-04,This is BC: Maple Leaf Adventures cleans coastline,https://globalnews.ca/video/10404294/this-is-bc-maple-leaf-adventures-cleans-coastline/,positive,0.2400103,0.010280082,0.74970967,0.05749925320714944
Global,2024-04-04,‘I would have never let him go’: Mother of boy killed by dogs in Edmonton shares grief,https://globalnews.ca/news/10404100/mother-boy-killed-dog-attack-edmonton/,negative,0.015942205,0.7201626,0.2638952,-0.5183799736669421
Global,2024-04-04,Some Manitoba surgery wait times increasing despite rise in surgery volumes,https://globalnews.ca/news/10403024/manitoba-cihi-wait-times/,neutral,0.03401258,0.18213074,0.78385663,-0.032014759966550344
Global,2024-04-04,Artist renditions of Arts Commons transformation project released,https://globalnews.ca/video/10404197/artist-renditions-of-arts-commons-transformation-project-released/,neutral,0.07438215,0.008303631,0.9173143,0.005463748768214316
Global,2024-04-04,B.C. boy identified as victim of fatal Edmonton dog attack,https://globalnews.ca/news/10399830/edmonton-fatal-dog-attack-bc-boy-victim/,negative,0.009965317,0.6278245,0.3622101,-0.3940643507839887
Global,2024-04-04,Questions being raised on affordable housing projects in Edmonton,https://globalnews.ca/video/10404187/questions-being-raised-on-affordable-housing-projects-in-edmonton/,neutral,0.03362658,0.07882623,0.88754725,-0.005082824459339719
Global,2024-04-04,City of Kelowna launches alternative revenue initiative,https://globalnews.ca/news/10402536/city-of-kelowna-launches-alternative-revenue-initiative/,neutral,0.123556696,0.008462401,0.8679809,0.01519464575296281
Global,2024-04-04,Total solar eclipse is almost here. Here are 10 things to know,https://globalnews.ca/news/10399904/total-solar-eclipse-questions-answered/,neutral,0.1576145,0.02206126,0.82032436,0.024355615110998485
Global,2024-04-04,Manitoba women need to work 3 months extra to make what men do in 1 year: CCPA,https://globalnews.ca/news/10403885/manitoba-gender-pay-gap/,neutral,0.06447578,0.09133981,0.84418434,-0.0041858365072919845
Global,2024-04-04,Health Canada recalls multiple medical devices including one that may cause death,https://globalnews.ca/news/10399989/health-care-products-recalled-canada/,negative,0.0101575935,0.80500555,0.18483669,-0.6479309017438197
Global,2024-04-04,Osoyoos boy killed in Edmonton dog attack,https://globalnews.ca/video/10401565/osoyoos-boy-killed-in-edmonton-dog-attack/,negative,0.009611954,0.718922,0.271466,-0.5167565006927788
Global,2024-04-04,"Insignia air fryers under mass recall in Canada, U.S.",https://globalnews.ca/video/10363803/insignia-air-fryers-under-mass-recall-in-canada-u-s/,negative,0.017803956,0.3578786,0.6243174,-0.1277601180760044
Global,2024-04-04,Calgary’s new ‘Wise Whiskers’ program educates kids on animal safety,https://globalnews.ca/video/10403994/calgarys-new-wise-whiskers-program-educates-kids-on-animal-safety/,positive,0.30055225,0.008758091,0.6906896,0.09025495876931622
Global,2024-04-04,Lethbridge among 10 regions to receive provincial airport grant,https://globalnews.ca/news/10403983/lethbridge-regional-airport-grant/,neutral,0.16426475,0.008751321,0.82698387,0.02690633293462419
Global,2024-04-04,Global News Hour at 6 Edmonton: April 4,https://globalnews.ca/video/10404292/global-news-hour-at-6-edmonton-april-4-6/,neutral,0.041556325,0.010885338,0.9475582,0.0016084409492878038
Global,2024-04-04,Nanaimo stunt rider hosts international event in his backyard,https://globalnews.ca/video/10404272/nanaimo-stunt-rider-hosts-international-event-in-his-backyard/,neutral,0.08053899,0.042441007,0.87702006,0.004685287423497941
Global,2024-04-04,Signatures submitted in campaign to recall Calgary mayor,https://globalnews.ca/video/10404176/signatures-submitted-in-campaign-to-recall-calgary-mayor/,neutral,0.037867498,0.06135298,0.90077955,-0.0023302401768283687
CTV,2024-04-04,"As the world ages, cancer cases are projected to rise, hitting some countries like 'a tidal wave'",https://www.ctvnews.ca/health/as-the-world-ages-cancer-cases-are-projected-to-rise-hitting-some-countries-like-a-tidal-wave-1.6834435,negative,0.016484035,0.6286008,0.35491508,-0.3948672858176927
CTV,2024-04-04,CHEO doctors to perform day surgeries at eastern Ontario hospitals,https://ottawa.ctvnews.ca/cheo-doctors-to-perform-day-surgeries-at-eastern-ontario-hospitals-1.6833827,neutral,0.034714926,0.027474232,0.9378108,0.0004502931231349372
CTV,2024-04-04,Ontario family terrorized in break-in by car thieves with gun,https://toronto.ctvnews.ca/ontario-family-terrorized-in-break-in-by-car-thieves-with-gun-1.6834208,negative,0.0069003976,0.8436255,0.14947408,-0.7116563952199542
CTV,2024-04-04,Transportation officials investigating ‘hard landing’ at Sault airport,https://northernontario.ctvnews.ca/transportation-officials-investigating-hard-landing-at-sault-airport-1.6832849,negative,0.01064933,0.22918941,0.76016116,-0.05241440073074344
CTV,2024-04-04,Northern Ont. school board touts success of putting vape detectors in washrooms,https://northernontario.ctvnews.ca/northern-ont-school-board-touts-success-of-putting-vape-detectors-in-washrooms-1.6834046,neutral,0.19243057,0.009976775,0.7975927,0.03692998036342221
CTV,2024-04-04,Biden threatens change in U.S. policy if Netanyahu fails to protect Gaza civilians,https://www.ctvnews.ca/world/biden-threatens-change-in-u-s-policy-if-netanyahu-fails-to-protect-gaza-civilians-1.6833846,negative,0.009837625,0.7047403,0.28542212,-0.4965620709101515
CTV,2024-04-04,Pilot says brakes seemed less effective than usual before a United Airlines jet slid off a taxiway,https://www.ctvnews.ca/world/pilot-says-brakes-seemed-less-effective-than-usual-before-a-united-airlines-jet-slid-off-a-taxiway-1.6834559,negative,0.015567505,0.5443057,0.4401268,-0.2960263449327716
CTV,2024-04-04,Scientists investigate thousands of dead Antarctic penguins for bird flu,https://www.ctvnews.ca/sci-tech/scientists-investigate-thousands-of-dead-antarctic-penguins-for-bird-flu-1.6834116,negative,0.01828419,0.5263327,0.45538318,-0.2766917439466212
CTV,2024-04-04,"Supreme Court won't hear Ticketmaster, Live Nation 'ticket bot' appeal",https://www.ctvnews.ca/entertainment/supreme-court-won-t-hear-ticketmaster-live-nation-ticket-bot-appeal-1.6833973,negative,0.013873235,0.49531642,0.49081022,-0.24514594233058062
CTV,2024-04-04,B.C. orca calf rescue aims for two-week timeline,https://bc.ctvnews.ca/b-c-orca-calf-rescue-aims-for-two-week-timeline-1.6834566,neutral,0.05189213,0.015904848,0.932203,0.0024398300819761243
CTV,2024-04-04,"One Canadian missing after Taiwan earthquake, says Global Affairs",https://www.ctvnews.ca/canada/one-canadian-missing-after-taiwan-earthquake-says-global-affairs-1.6834075,negative,0.011694423,0.43065494,0.5576508,-0.18532684528163657
CTV,2024-04-04,"Vancouver real estate: Prospects of buying a home at 'full-blown crisis levels,' report says",https://bc.ctvnews.ca/vancouver-real-estate-prospects-of-buying-a-home-at-full-blown-crisis-levels-report-says-1.6833352,negative,0.013225792,0.4973845,0.48938975,-0.24721639343087354
CTV,2024-04-04,Manitoba extending fuel tax holiday,https://winnipeg.ctvnews.ca/manitoba-extending-fuel-tax-holiday-1.6830141,neutral,0.05394967,0.044944778,0.9011057,0.000890532366664587
