source,date,headline,url,chosen_label,positive,negative,neutral,compound
Global,2023-10-19,Saskatchewan Polytechnic has 27 per cent increase in enrolment,https://globalnews.ca/news/10037207/saskatchewan-polytechnic-has-27-per-cent-increase-in-enrolment/,positive,0.32196543,0.006645167,0.67138946,0.10361755855583965
Global,2023-10-19,Preparing for the big one with the Great BC ShakeOut,https://globalnews.ca/video/10037412/preparing-for-the-big-one-with-the-great-bc-shakeout/,positive,0.5311906,0.005135134,0.46367422,0.2821371036724365
Global,2023-10-19,Joran van der Sloot confesses to killing U.S. teen Natalee Holloway,https://globalnews.ca/news/10033385/joran-van-der-sloot-confession-killing-natalee-holloway/,negative,0.012537272,0.3920734,0.59538937,-0.1535643509252793
Global,2023-10-19,Driver in critical condition after serious crash in Coquitlam,https://globalnews.ca/news/10036658/driver-critical-condition-crash-coquitlam/,negative,0.023533529,0.6048202,0.37164623,-0.36525367242050777
Global,2023-10-19,Small businesses speak out about shoplifting,https://globalnews.ca/video/10037467/small-businesses-speak-out-about-shoplifting/,neutral,0.06769289,0.18981242,0.7424947,-0.03144642618947735
Global,2023-10-19,Chinese fighter jet was ‘dangerous and reckless’ towards Canadian surveillance plane: Blair,https://globalnews.ca/video/10029406/chinese-fighter-jet-was-dangerous-and-reckless-towards-canadian-surveillance-plane-blair/,negative,0.008081644,0.7414701,0.25044832,-0.5497125726056797
Global,2023-10-19,City releases snow plan as Calgarians prepare for winter,https://globalnews.ca/video/10037315/city-releases-snow-plan-as-calgarians-prepare-for-winter/,neutral,0.053578466,0.026355749,0.92006576,0.002176027191912455
Global,2023-10-19,Questions remain after fatal police shooting in northeast Calgary,https://globalnews.ca/video/10037387/questions-remain-after-fatal-police-shooting-in-northeast-calgary/,negative,0.012732289,0.47239602,0.5148717,-0.22299587095632845
Global,2023-10-19,Chinese military jet intercepts Canadian Forces plane in ‘aggressive manner’,https://globalnews.ca/video/10027624/chinese-military-jet-intercepts-canadian-forces-plane-in-aggressive-manner/,negative,0.01519833,0.24620688,0.7385948,-0.0603868416240978
Global,2023-10-19,Trudeau says Alberta’s Canada Pension Plan exit would cause ‘undeniable’ harm,https://globalnews.ca/news/10032931/trudeau-alberta-canada-pension-plan-letter/,negative,0.008244844,0.74545884,0.24629647,-0.5556407743679372
Global,2023-10-19,CUPE 882 claims Prince Albert mayor drove through picket line,https://globalnews.ca/news/10037029/cupe-882-claims-prince-albert-mayor-drove-through-picket-line/,negative,0.016057605,0.40499297,0.57894945,-0.1637614455565739
Global,2023-10-19,Global News Hour at 6 Edmonton:  October 19,https://globalnews.ca/video/10037425/global-news-hour-at-6-edmonton-october-19-3/,neutral,0.031271547,0.009494411,0.95923394,0.0008877680507225483
Global,2023-10-19,‘There’s nowhere safe’: Canadians still trapped in Gaza desperate to get out,https://globalnews.ca/video/10034916/theres-nowhere-safe-canadians-still-trapped-in-gaza-desperate-to-get-out/,negative,0.005960147,0.8516138,0.14242595,-0.7252106245529788
Global,2023-10-19,U.S. issues ‘worldwide caution’ global travel alert for citizens,https://globalnews.ca/news/10035940/us-worldwide-caution-travel-advisory/,neutral,0.043268867,0.07107866,0.8856524,-0.0031799822508906672
Global,2023-10-19,Global News at 5 Lethbridge: Oct. 19,https://globalnews.ca/video/10037301/global-news-at-5-lethbridge-oct-19-3/,neutral,0.025802368,0.021533497,0.9526641,0.000202070977111668
Global,2023-10-19,"Hamilton renoviction bylaw sent back to city staff for further revisions, cost analysis",https://globalnews.ca/news/10035325/hamilton-renoviction-bylaw-further-revisions-cost-analysis/,neutral,0.028782645,0.060030915,0.91118664,-0.0027752639583952243
Global,2023-10-19,Winnipeg’s Buffalo Crossing facility hailed as highly energy-efficient,https://globalnews.ca/news/10036992/winnipeg-buffalo-crossing-facility-energy-efficient/,positive,0.79916537,0.0035438642,0.19729073,0.638652762206247
Global,2023-10-19,Global News Hour at 6 Calgary: Oct. 19,https://globalnews.ca/video/10037447/global-news-hour-at-6-calgary-oct-19-4/,neutral,0.033632603,0.0111439815,0.9552232,0.001006968385095508
Global,2023-10-19,"Bow River bridge twinning nears completion, Calgary ring road project in final stage",https://globalnews.ca/news/10036900/bow-river-bridge-twinning-calgary-ring-road-final-stage/,neutral,0.1490186,0.010082526,0.8408988,0.022104894230201566
