source,date,headline,url,chosen_label,positive,negative,neutral,compound
Global,2023-10-20,Canada’s Christine Sinclair retiring from international soccer,https://globalnews.ca/video/10038979/canadas-christine-sinclair-retiring-from-international-soccer/,neutral,0.020783514,0.1714347,0.80778193,-0.028957879637765416
Global,2023-10-20,City sees continued calls for closure of Manwin Hotel in Winnipeg,https://globalnews.ca/news/10039546/calls-for-closure-manwin-hotel-winnipeg/,negative,0.016015615,0.28366533,0.700319,-0.08020953490025207
Global,2023-10-20,"Memramcook, N.B. considers lawsuit over Pride crosswalk vandalism",https://globalnews.ca/news/10039480/memramcook-nb-lawsuit-pride-crosswalk-vandalism/,negative,0.016997973,0.3486537,0.6343483,-0.12127049427832048
Global,2023-10-20,Say goodbye to raking leaves. Try one of these alternatives for a cleaner yard,https://globalnews.ca/the-curator/10035477/raking-leaves-alternatives/,neutral,0.16942123,0.16318968,0.6673892,0.0020726795465151326
Global,2023-10-20,Chinese military jet intercepts Canadian Forces plane in ‘aggressive manner’,https://globalnews.ca/video/10027624/chinese-military-jet-intercepts-canadian-forces-plane-in-aggressive-manner/,negative,0.01519833,0.24620688,0.7385948,-0.0603868416240978
Global,2023-10-20,"Manitoba RCMP search for missing senior, say they’re concerned for her well-being",https://globalnews.ca/news/10039795/manitoba-rcmp-search-missing-senior/,neutral,0.025974203,0.20276085,0.771265,-0.04043729877939395
Global,2023-10-20,Public transit agencies seeking more money from Quebec government,https://globalnews.ca/news/10039559/public-transit-agencies-deficit-quebec-funding/,neutral,0.080375955,0.07334274,0.84628135,0.001081136159496232
Global,2023-10-20,Around 24k new homes to be built in Brampton as part of accelerator program: Trudeau,https://globalnews.ca/video/10038820/around-24k-new-homes-to-be-built-in-brampton-as-part-of-accelerator-program-trudeau/,neutral,0.17190738,0.005693232,0.82239926,0.029519756832010913
Global,2023-10-20,Israel tech workers on mission to find hostages,https://globalnews.ca/video/10037536/israel-tech-workers-on-mission-to-find-hostages/,neutral,0.03932691,0.20344386,0.7572292,-0.0398428014959471
Global,2023-10-20,TMS Torch Talk: Survivor’s emotional twist with Sean Edwards,https://globalnews.ca/video/10039047/tms-torch-talk-survivors-emotional-twist-with-sean-edwards/,neutral,0.053570166,0.019928982,0.92650086,0.002472598042301488
Global,2023-10-20,Parents sign open letter calling for action on overcrowded Moncton school,https://globalnews.ca/news/10036638/parents-sign-open-letter-action-overcrowded-moncton-school/,neutral,0.035193354,0.1531681,0.81163865,-0.022221881517151765
Global,2023-10-20,U.S. issues ‘worldwide caution’ global travel alert for citizens,https://globalnews.ca/news/10035940/us-worldwide-caution-travel-advisory/,neutral,0.043268867,0.07107866,0.8856524,-0.0031799822508906672
Global,2023-10-20,Global News at 6 New Brunswick: Oct 20,https://globalnews.ca/video/10039920/global-news-at-6-new-brunswick-oct-20-7/,neutral,0.030201918,0.018164823,0.9516332,0.0005821955711260429
Global,2023-10-20,"As diplomats leave India, Canada halts in-person services at its consulates",https://globalnews.ca/news/10037922/canada-india-consulates-services/,negative,0.013924081,0.3430877,0.64298826,-0.11751527198344647
Global,2023-10-20,USask student union addresses concerns about dimly lit campus areas,https://globalnews.ca/news/10039240/usask-student-union-concerns-dimly-lit-campus/,negative,0.022333762,0.25428241,0.7233838,-0.06416076024193806
Global,2023-10-20,Halifax outreach navigator shares desperation to get people out of tents,https://globalnews.ca/news/10039406/halifax-outreach-navigator-get-people-out-of-tents/,negative,0.022323668,0.35037747,0.62729883,-0.12226603528587532
Global,2023-10-20,"U.S. shoots down missiles, drones fired from Yemen as Middle East tensions grow",https://globalnews.ca/news/10037201/us-yemen-pentagon-middle-east/,negative,0.012473884,0.46828213,0.5192439,-0.21913259944537167
Global,2023-10-20,Prospective bidder on Trans Mountain sale calls for Indigenous ownership,https://globalnews.ca/news/10039787/prospective-bidder-on-trans-mountain-sale-calls-for-indigenous-ownership/,neutral,0.07124547,0.02620908,0.90254545,0.004389001066989806
Global,2023-10-20,A new season starts this weekend for the Regina Symphony Orchestra,https://globalnews.ca/news/10039862/regina-symphony-orchestra-new-season/,positive,0.37993753,0.004083409,0.61597914,0.14433582985370919
Global,2023-10-20,"Panic, sadness, devastation at Bishop’s University over Quebec’s new tuition rates",https://globalnews.ca/news/10039342/panic-sadness-devastation-bishops-university-quebec-tuition/,negative,0.006751036,0.90604633,0.087202504,-0.8208744707756681
Global,2023-10-20,"UAW president announces progress with Stellantis and General Motors, slams Ford for not meeting demands",https://globalnews.ca/video/10039793/uaw-president-announces-progress-with-stellantis-and-general-motors-slams-ford-for-not-meeting-demands/,negative,0.04384209,0.257296,0.69886196,-0.06427909094547779
Global,2023-10-20,Italian PM Giorgia Meloni splits from partner after lewd TV comments,https://globalnews.ca/news/10038014/italy-giorgia-meloni-breaks-up-partner-tv-comments-andrea-giambruno/,negative,0.015308434,0.48175508,0.5029365,-0.23185360669654642
Global,2023-10-20,St. Bernard Weather School with Meteorologist Peter Quinlan,https://globalnews.ca/news/10023620/st-bernard-weather-school-meteorologist-peter-quinlan/,neutral,0.039748773,0.008071999,0.95217913,0.0015148107194982163
Global,2023-10-20,Housing crisis: ‘Money on table’ for Canadian cities willing to cooperate with feds’ requirements says Fraser,https://globalnews.ca/video/10038828/housing-crisis-money-on-table-for-canadian-cities-willing-to-cooperate-with-feds-requirements-says-fraser/,neutral,0.06299756,0.08557384,0.85142857,-0.00335419023145489
Global,2023-10-20,"U.S. shoots down missiles, drones fired north from Yemen: Pentagon",https://globalnews.ca/video/10037319/u-s-shoots-down-missiles-drones-fired-north-from-yemen-pentagon/,neutral,0.018143373,0.22140375,0.76045287,-0.04869044066529504
Global,2023-10-20,Owner left shocked after watching his dog get attacked by shark in N.S. waters,https://globalnews.ca/news/10036623/shark-attacks-dog-nova-scotia/,negative,0.013617025,0.7064609,0.2799222,-0.49890148721904026
Global,2023-10-20,Trudeau says India’s decision to pull 41 Canadian diplomats out of country should ‘concern everyone’,https://globalnews.ca/video/10038775/trudeau-says-indias-decision-to-pull-41-canadian-diplomats-out-of-country-should-concern-everyone/,negative,0.012474623,0.37353247,0.6139928,-0.13937092514287386
Global,2023-10-20,"Winnipeg’s Manwin Hotel an ‘unlivable health hazard,’ community safety advocate says",https://globalnews.ca/video/10039151/winnipegs-manwin-hotel-an-unlivable-health-hazard-community-safety-advocate-says/,negative,0.008899232,0.6992079,0.2918928,-0.48881255590208283
Global,2023-10-20,Guelph food bank extends Thanksgiving food drive,https://globalnews.ca/news/10039615/guelph-food-bank-thanksgiving-food-drive/,positive,0.39692473,0.0048617222,0.5982136,0.1575255849359607
Global,2023-10-20,"Manitoba government appoints new board to tackle MPI strike, cost overruns",https://globalnews.ca/news/10039431/manitoba-government-new-board-mpi-strike-cost-overruns/,negative,0.018570619,0.4485268,0.53290254,-0.20083143448048624
Global,2023-10-20,Ontario rolls out program covering electric vehicle chargers in small communities,https://globalnews.ca/video/10039624/ontario-rolls-out-program-covering-electric-vehicle-chargers-in-small-communities/,neutral,0.146842,0.008817212,0.84434074,0.0214848367704894
Global,2023-10-20,Business competition weakening in Canada: study,https://globalnews.ca/video/10037546/business-competition-weakening-in-canada-study/,negative,0.019803815,0.3996533,0.5805428,-0.1593305913979961
