source,date,headline,url,chosen_label,positive,negative,neutral,compound
Global,2023-12-31,Housing market 2024: What to expect with rate cuts in the forecast,https://globalnews.ca/news/10181824/canada-housing-market-outlook-2024/,neutral,0.037175328,0.07044881,0.89237577,-0.0035810328461605145
Global,2023-12-31,RCMP reminding public to plan a safe ride home this New Year’s Eve,https://globalnews.ca/news/10197594/rcmp-drive-safe-new-years-eve-b-c/,neutral,0.223732,0.020403909,0.75586414,0.04963967692241056
Global,2023-12-31,Reactions to court open drug use ruling,https://globalnews.ca/video/10197213/reactions-to-court-open-drug-use-ruling/,neutral,0.02855888,0.10375017,0.86769086,-0.009948494715635192
Global,2023-12-31,From natural disaster to economic uncertainty: Okanagan’s top stories of 2023,https://globalnews.ca/news/10180592/okanagan-top-stories-2023/,negative,0.021449983,0.6034839,0.3750661,-0.3637327342849481
Global,2023-12-31,What’s open and closed in Canada on New Year’s Day 2024,https://globalnews.ca/news/10196805/new-years-day-open-closed-2024/,neutral,0.037318178,0.015540294,0.94714147,0.0011511469231093585
Global,2023-12-31,Remembering the celebrities we lost in 2023,https://globalnews.ca/news/10165182/celebrities-movie-stars-tv-deaths-2023/,negative,0.0161663,0.748146,0.2356876,-0.5594611834991294
Global,2023-12-31,U.S. announces naval coalition to defend Red Sea shipping from Yemen’s Houthi attacks: White House,https://globalnews.ca/video/10180923/u-s-announces-naval-coalition-to-defend-red-sea-shipping-from-yemens-houthi-attacks-white-house/,neutral,0.08088028,0.030206136,0.8889135,0.005629212283729146
Global,2023-12-31,Naval commander warns Royal Canadian Navy has 20% shortfall in personnel,https://globalnews.ca/video/10191980/naval-commander-warns-royal-canadian-navy-has-20-shortfall-in-personnel/,negative,0.014731478,0.47318202,0.5120865,-0.22368421037171515
Global,2023-12-31,"Quebec asks public to be prudent, avoid ERs if possible, amid continued overcrowding",https://globalnews.ca/news/10197729/quebec-avoid-emergency-rooms-overcrowding/,neutral,0.02849069,0.15079659,0.82071275,-0.02192788903273346
Global,2023-12-31,"SIU clears London, Ont., officers in man’s drug overdose while in police cells",https://globalnews.ca/news/10197584/siu-london-ont-police-cleared-overdose-in-custody-investigation/,negative,0.018757636,0.36318228,0.6180602,-0.13154948605285277
Global,2023-12-31,First all-female tugboat crew makes history for 70-year-old B.C. company,https://globalnews.ca/news/10197735/first-all-female-tugboat-crew-makes-history-for-70-year-old-b-c-company/,positive,0.49919307,0.0095620975,0.4912448,0.24910230419256152
Global,2023-12-31,PWHL special advisor Cassie Campbell-Pascal on the new league’s impact,https://globalnews.ca/video/10197251/pwhl-special-advisor-cassie-campbell-pascal-on-the-new-leagues-impact/,neutral,0.08262557,0.0060944185,0.91128,0.006789845387522586
Global,2023-12-31,Year in Review: Stories that made Peterborough headlines in 2023,https://globalnews.ca/video/10197097/year-in-review-stories-that-made-peterborough-headlines-in-2023/,neutral,0.07264181,0.022503957,0.9048541,0.004770410404958181
Global,2023-12-31,Montreal’s professional women’s hockey league team faces scrutiny over English-only video,https://globalnews.ca/video/10197161/montreals-professional-womens-hockey-league-team-faces-scrutiny-over-english-only-video/,neutral,0.024464196,0.15818454,0.8173512,-0.024423859108944512
Global,2023-12-31,Global News Hour at 6 BC: Dec. 30,https://globalnews.ca/video/10197241/global-news-hour-at-6-bc-dec-30-2/,neutral,0.041161995,0.007011617,0.9518264,0.001645146815813625
Global,2023-12-31,"Cost-of-living crisis, foreign interference: Reviewing the top stories of 2023",https://globalnews.ca/video/10191986/cost-of-living-crisis-foreign-interference-reviewing-the-top-stories-of-2023/,negative,0.0157398,0.5374853,0.44677487,-0.28864272361370347
Global,2023-12-31,What Canada can learn from the explosive 2023 wildfire season,https://globalnews.ca/video/10197250/what-canada-can-learn-from-2023s-explosive-wildfire-season/,neutral,0.04566047,0.12587357,0.828466,-0.013759273993612098
Global,2023-12-31,"What’s open and closed on New Year’s Day 2024 in London, Ont.",https://globalnews.ca/news/10197543/open-closed-new-years-2024-london-ont/,neutral,0.027031716,0.0064250114,0.9665432,0.0006894344250696349
Global,2023-12-31,Slippery start for ski season at Mission Ridge Winter Park in Fort Qu’Appelle,https://globalnews.ca/news/10197149/slippery-start-for-ski-season-at-mission-ridge-winter-park-in-fort-quappelle/,negative,0.029989501,0.4005289,0.5694816,-0.15952402416470335
Global,2023-12-31,Torontonians prepare for NYE celebrations,https://globalnews.ca/video/10197152/torontonians-prepare-for-nye-celebrations/,positive,0.6030918,0.0044303522,0.3924778,0.3637000983759435
Global,2023-12-31,Housing market 2024: What to expect with rate cuts on the horizon,https://globalnews.ca/video/10196967/housing-market-2024-what-to-expect-with-rate-cuts-on-the-horizon/,neutral,0.03719404,0.07395708,0.8888489,-0.0040862521378621786
Global,2023-12-31,Navy commander ‘confident’ in ability to meet commitments despite sailor shortage,https://globalnews.ca/news/10192146/navy-commander-confident-commitments-sailor-shortage/,positive,0.45250607,0.011791889,0.53570205,0.20462269064594452
Global,2023-12-31,Montreal’s pro women’s hockey team faces scrutiny over English-only video,https://globalnews.ca/news/10197104/montreals-professional-womens-hockey-league-team-faces-scrutiny-over-english-video/,neutral,0.023190545,0.1565129,0.8202965,-0.023958490924059106
Global,2023-12-31,“He just vanished” Friends and family desperate for answers in disappearance of Calgary outdoorsman,https://globalnews.ca/video/10197170/he-just-vanished-friends-and-family-desperate-for-answers-in-disappearance-of-calgary-outdoorsman/,negative,0.012406,0.45978028,0.52781373,-0.2112439934082211
Global,2023-12-31,Canadians could see changes in banking next year. What to expect,https://globalnews.ca/news/10195005/canada-banking-changes-2024/,neutral,0.08141584,0.024106996,0.8944772,0.006047390466646707
Global,2023-12-31,"Pierce Brosnan accused of trespassing in Yellowstone Park thermal area, could face jail",https://globalnews.ca/news/10195033/pierce-brosnan-trespassing-yellowstone-park-thermal-area/,negative,0.011814205,0.5918378,0.396348,-0.3501324344171053
Global,2023-12-31,"Regina police, Sask. coroner investigating NYE death on 4th Avenue",https://globalnews.ca/news/10197538/regina-police-sask-coroner-investigating-nye-death-on-4th-avenue/,neutral,0.017915739,0.13943636,0.84264785,-0.019121531324853613
Global,2023-12-31,"Kingston, Ont., grandmother takes a polar plunge to support grandmothers in Africa",https://globalnews.ca/news/10197696/kingston-ont-grandmother-polar-plunge-fundraise-grandmothers-in-africa/,neutral,0.093893714,0.030582478,0.87552387,0.007880737710794783
Global,2023-12-31,N.S. group warns about the impact of fireworks on pets ahead of New Year’s Eve,https://globalnews.ca/news/10197529/fireworks-hurt-consumer-fireworks-impact-pets/,negative,0.018026214,0.49010065,0.49187303,-0.2398737613547297
Global,2023-12-31,What banking changes could Canadians expect in 2024?,https://globalnews.ca/video/10196892/what-banking-changes-could-canadians-expect-in-2024/,neutral,0.0337486,0.023840962,0.94241035,0.0005705774439437317
Global,2023-12-31,In Memoriam: Remembering the influential individuals we lost in 2023,https://globalnews.ca/video/10194707/in-memoriam-remembering-the-influential-individuals-we-lost-in-2023/,negative,0.03385499,0.4619304,0.5042145,-0.21223356690445172
Global,2023-12-31,Sense and ‘Scentsitivity’: Is there a case for a fragrance-free world?,https://globalnews.ca/video/10197162/sense-and-scentsitivity-is-there-a-case-for-a-fragrance-free-world/,neutral,0.13963576,0.033166982,0.82719725,0.018398096607331826
