source,date,headline,url,chosen_label,positive,negative,neutral,compound
Global,2023-11-30,B.C. Supreme court attacker sentencing hearing,https://globalnews.ca/video/10132920/b-c-supreme-court-attacker-sentencing-hearing/,neutral,0.042571165,0.06492393,0.89250493,-0.0024028117607226562
Global,2023-11-30,"26,000+ fake toonies seized in CBSA bust",https://globalnews.ca/video/10107605/26000-fake-toonies-seized-in-cbsa-bust-2/,negative,0.01833272,0.6148602,0.36680716,-0.377716913138606
Global,2023-11-30,Global News Hour at 6 Calgary: Nov. 29,https://globalnews.ca/video/10132658/global-news-hour-at-6-calgary-nov-29-4/,neutral,0.036384564,0.00992498,0.9536904,0.0012253324961826184
Global,2023-11-30,Advocates call for end to Vancouver park decampments,https://globalnews.ca/video/10132706/advocates-call-for-end-to-vancouver-park-decampments/,neutral,0.046002608,0.10649384,0.8475036,-0.009224694706725378
Global,2023-11-30,A look at what construction in downtown Lethbridge means to area businesses,https://globalnews.ca/video/10132632/a-look-at-what-construction-in-downtown-lethbridge-means-to-area-businesses/,neutral,0.04886965,0.027429737,0.9237005,0.001635854446717433
Global,2023-11-30,Toronto’s Taste of the Danforth in jeopardy if funding shortfall not met,https://globalnews.ca/news/10136628/toronto-taste-of-the-danforth-festival/,negative,0.0190219,0.5720863,0.40889177,-0.32692088833897515
Global,2023-11-30,How legalized online gambling in Ontario has impacted addictions trends,https://globalnews.ca/video/10123520/how-legalized-online-gambling-in-ontario-has-impacted-addictions-trends/,negative,0.017812278,0.29005542,0.69213235,-0.08381485536575894
Global,2023-11-30,Big hog falls off truck and onto busy Kitchener highway,https://globalnews.ca/news/10137607/highway-8-kitchener-pig/,negative,0.02644847,0.5614058,0.4121457,-0.3144769409075785
Global,2023-11-30,Snow on the way for B.C. ski hills,https://globalnews.ca/video/10133046/snow-on-the-way-for-b-c-ski-hills/,neutral,0.14818896,0.08309034,0.7687207,0.015055964367570507
Global,2023-11-30,Ottawa to announce sole-source deal to replace military patrol planes: report,https://globalnews.ca/news/10136723/military-patrol-planes-boeing-p8a-poseidon/,neutral,0.037598375,0.020145664,0.942256,0.0010077898147944353
Global,2023-11-30,In the market for a castle? There’s one on sale for under $1M in Nova Scotia,https://globalnews.ca/news/10127986/nova-scotia-castle-under-1-million-dollars-cape-breton/,neutral,0.11942844,0.012085441,0.868486,0.014117109092215863
Global,2023-11-30,Castle for sale under $1M in Nova Scotia,https://globalnews.ca/video/10136599/castle-for-sale-under-1m-in-nova-scotia/,neutral,0.057238653,0.012425128,0.93033606,0.003121886795390383
Global,2023-11-30,U.S. says alleged plot to kill Sikh activist in N.Y. linked to Nijjar murder in B.C.,https://globalnews.ca/video/10132729/u-s-says-alleged-plot-to-kill-sikh-activist-in-n-y-linked-to-nijjar-murder-in-b-c/,negative,0.00684708,0.6123119,0.38084117,-0.37487888969302574
Global,2023-11-30,"Man found unconscious in Montreal house fire, later dies in hospital",https://globalnews.ca/news/10136849/montreal-fatal-house-fire-tetreaultville/,negative,0.017274272,0.33450866,0.6482171,-0.11159764183609866
Global,2023-11-30,‘I got defrauded’: Man says car he bought taken illegally by former owner,https://globalnews.ca/news/10117944/canada-car-sale-illegal/,negative,0.005317411,0.8391427,0.15553986,-0.704132225168574
Global,2023-11-30,"Saskatoon morning news rewind: Thursday, Nov. 30",https://globalnews.ca/news/10136917/saskatoon-spca-bdo-debt-solutions/,neutral,0.021435035,0.016584339,0.96198046,0.00018442124990203368
Global,2023-11-30,"A new fake Toonie has emerged in Quebec, Ontario: Here’s how you spot it",https://globalnews.ca/news/10108612/fake-toonie-quebec-ontario-how-to-spot-it/,negative,0.012709124,0.63694656,0.35034433,-0.40553937809818663
Global,2023-11-30,Is Christmas ‘racist’? Why the question came up on Parliament Hill,https://globalnews.ca/news/10130749/canada-christmas-racist-debate/,negative,0.010367214,0.6374346,0.35219827,-0.4062153363468024
Global,2023-11-30,MAiD services to be available for patients of Vancouver’s St. Paul’s Hospital,https://globalnews.ca/video/10133300/maid-services-to-be-available-for-patients-of-vancouvers-st-pauls-hospital/,neutral,0.058726225,0.00842961,0.9328442,0.003377708385957634
Global,2023-11-30,Israeli journalist says Jerusalem has ‘no endgame right now’,https://globalnews.ca/video/10132738/israeli-journalist-says-jerusalem-has-no-endgame-right-now/,negative,0.009450673,0.57396215,0.4165872,-0.3293432198694557
Global,2023-11-30,ANALYSIS: Would replacing Trudeau help the Liberals? It’s probably unlikely,https://globalnews.ca/news/10136727/justin-trudeau-liberal-party-polling/,negative,0.020204062,0.4146752,0.5651209,-0.17154726331290782
Global,2023-11-30,Highway 1 widening projects in Fraser Valley expected to take until 2029,https://globalnews.ca/news/10137197/highway-1-widening-projects-in-fraser-valley-expected-to-take-until-2029/,neutral,0.042650897,0.04225149,0.9150976,3.3910615113708076e-05
Global,2023-11-30,Canada’s homicide rate is at the highest level in 30 years,https://globalnews.ca/news/10137037/canada-homicide-report-2022/,negative,0.006425226,0.9188166,0.0747582,-0.8441826819354574
Global,2023-11-30,"Freeland, Smith announce major new Dow investment in Alberta",https://globalnews.ca/video/10132676/freeland-smith-announce-major-new-dow-investment-in-alberta/,positive,0.28349072,0.0067096883,0.7097996,0.0803219668530808
