source,date,headline,url,chosen_label,positive,negative,neutral,compound
Global,2024-07-14,Fraser Valley recovery centre expands to B.C. Interior,https://globalnews.ca/video/10622515/fraser-valley-recovery-centre-expands-to-b-c-interior/,neutral,0.039715562,0.010663121,0.9496213,0.0014636235885201465
Global,2024-07-14,Winnipeg Humane Society halts pet intake amid shelter capacity crisis,https://globalnews.ca/news/10622173/winnipeg-humane-society-halts-pet-intake-amid-shelter-capacity-crisis/,negative,0.027421199,0.40746564,0.5651131,-0.16527633389071816
Global,2024-07-14,Donald Trump shooter identified as Thomas Matthew Crooks,https://globalnews.ca/news/10622873/donald-trump-shooter-thomas-matthew-crooks/,neutral,0.01924957,0.16141108,0.8193394,-0.02568298327934393
Global,2024-07-14,Great White North: Why more sharks are heading to Canada,https://globalnews.ca/news/10602228/sharks-canada-ocean-warming-climate-change/,neutral,0.025479421,0.10975399,0.8647666,-0.011396736508491045
Global,2024-07-14,"How to avoid shark attacks, according to experts",https://globalnews.ca/video/10620285/how-to-avoid-shark-attacks-according-to-experts/,neutral,0.10895704,0.06996416,0.8210788,0.006976652750179113
Global,2024-07-14,Canadian government buys lavish $9M NYC condo for consul general,https://globalnews.ca/video/10622610/canadian-government-buys-lavish-9m-nyc-condo-for-consul-general/,neutral,0.052621618,0.09440117,0.8529772,-0.0061425465361169
Global,2024-07-14,"Out-of-control wildfire nears Labrador City, thousands evacuate",https://globalnews.ca/video/10622616/out-of-control-wildfire-nears-labrador-city-thousands-evacuate/,negative,0.008907732,0.7528729,0.23821935,-0.5667382542972064
Global,2024-07-14,LCBO scraps plan for limited store openings as strike persists,https://globalnews.ca/news/10623284/lcbo-strike-update-store-openings/,negative,0.014217833,0.4241321,0.56165,-0.17968593575761282
Global,2024-07-14,Hundreds attend 22nd annual Vancouver Chinatown Festival,https://globalnews.ca/video/10622518/hundreds-attend-22nd-annual-vancouver-chinatown-festival/,positive,0.3844127,0.0048822304,0.6107051,0.14774929241854196
Global,2024-07-14,Biden campaigns in Michigan as donors slowly back out,https://globalnews.ca/video/10621392/biden-campaigns-in-michigan-as-donors-slowly-back-out/,neutral,0.07373295,0.032446768,0.8938202,0.004383757429876622
Global,2024-07-14,Shediac Lobster Festival ‘bigger and better’ in 75th year,https://globalnews.ca/video/10622464/shediac-lobster-festival-bigger-and-better-in-75th-year/,positive,0.9370006,0.0019245094,0.06107487,0.8779664077659477
Global,2024-07-14,Shediac Lobster Festival ‘bigger and better’ in 75th year,https://globalnews.ca/news/10622165/shediac-lobster-festival-bigger-and-better-in-75th-year/,positive,0.9370006,0.0019245094,0.06107487,0.8779664077659477
Global,2024-07-14,Kelowna to offer direct flights to Los Angeles,https://globalnews.ca/news/10623147/kelowna-direct-flights-los-angeles/,neutral,0.06567896,0.007541833,0.9267791,0.004256853483859624
Global,2024-07-14,B.C. waters new home to Canada’s largest marine protected area,https://globalnews.ca/video/10622524/b-c-waters-new-home-to-canadas-largest-marine-protected-area/,positive,0.53604513,0.0033490276,0.4606057,0.28733324929302384
Global,2024-07-14,"Cricket, anyone? Toronto creating strategy to meet ‘growing demand’",https://globalnews.ca/news/10617523/cricket-strategy-toronto/,neutral,0.07865211,0.02033234,0.90101564,0.005772745498242582
Global,2024-07-14,Donald Trump shooting leaves Trudeau ‘sickened’ as leaders condemn violence,https://globalnews.ca/news/10622974/donald-trump-shooting-justin-trudeau-canadian-leaders/,negative,0.008818541,0.7223112,0.26887012,-0.5216557857184512
Global,2024-07-14,New research finds possible cure for Anorexia,https://globalnews.ca/video/10622972/new-research-finds-possible-cure-for-anorexia/,positive,0.43563536,0.010426099,0.5539386,0.18966942355998384
Global,2024-07-14,Trump shooter identified as 20-year-old Thomas Matthew Crooks,https://globalnews.ca/video/10622933/trump-shooter-identified-as-20-year-old-thomas-matthew-crooks/,neutral,0.01854209,0.20352945,0.77792853,-0.04108041281781194
Global,2024-07-14,"Poilievre calls Trudeau a ‘joke’ on world stage, won’t commit to NATO timeline",https://globalnews.ca/news/10619936/pierre-poilievre-justin-trudeau-joke-canada-defence-spending-nato/,negative,0.009888865,0.73701155,0.2530996,-0.5430882158065948
Global,2024-07-14,"Motive for Trump ‘assassination attempt’ still being investigated, FBI says",https://globalnews.ca/video/10623128/motive-for-trump-assassination-attempt-still-being-investigated-fbi-says/,negative,0.016438955,0.3982916,0.5852696,-0.1583659039757208
Global,2024-07-14,Premier says weather cooperating as firefighters attack Labrador City blaze,https://globalnews.ca/news/10623185/weather-firefighters-labrador-wildfire/,neutral,0.06807791,0.016536027,0.915386,0.0043611635256715076
Global,2024-07-14,Trump shooting witnesses say they tried to warn police of rooftop gunman,https://globalnews.ca/news/10622967/trump-shooting-witnesses-shooter-on-roof/,negative,0.015908198,0.26006332,0.7240285,-0.06737984898395855
Global,2024-07-14,Alberta man swept away by B.C. river after trying to rescue 2 youths,https://globalnews.ca/video/10622283/alberta-man-swept-away-by-b-c-river-after-trying-to-rescue-2-youths/,negative,0.015605894,0.38852498,0.5958691,-0.15070811556904573
Global,2024-07-14,Social anxiety in the summer,https://globalnews.ca/video/10623110/social-anxiety-in-the-summer/,negative,0.049422592,0.5359334,0.4146441,-0.28478196123238764
Global,2024-07-14,Trump campaign says former president is ‘fine’ after shooting,https://globalnews.ca/news/10622314/breaking-news-donald-trump-whisked-off-stage-in-pennsylvania-after-apparent-gunshots/,neutral,0.17054495,0.025622884,0.80383223,0.02842903744654901
Global,2024-07-14,Trump rally shooting investigated as apparent assassination attempt,https://globalnews.ca/video/10622602/trump-rally-shooting-investigated-as-apparent-assassination-attempt/,negative,0.014325636,0.57114434,0.41452998,-0.32600066971779995
Global,2024-07-14,Remembering a drowning tragedy that claimed the lives of 12 Quebec children,https://globalnews.ca/video/10622476/remembering-a-drowning-tragedy-that-claimed-the-lives-of-12-quebec-children/,negative,0.009346714,0.85027874,0.14037459,-0.7228865286328645
Global,2024-07-14,Alberta woman who was born despite IUD suffering from rare diseases,https://globalnews.ca/news/10620363/iud-woman-birth-rare-diseases-alberta/,negative,0.068966165,0.28822088,0.642813,-0.07831492878445534
Global,2024-07-14,More alerts pondered after rash of swimming advisories for Okanagan Lake,https://globalnews.ca/news/10622362/more-alerts-pondered-swimming-advisories-okanagan-lake/,neutral,0.019708395,0.08845148,0.89184016,-0.007435241336378073
Global,2024-07-14,Remembering a 1954 drowning tragedy that claimed the lives of 12 Quebec children,https://globalnews.ca/news/10622138/remembering-a-1954-drowning-tragedy-that-claimed-the-lives-of-12-quebec-children/,negative,0.011195116,0.8217794,0.1670255,-0.6751960026803197
Global,2024-07-14,Calgary irrigation company feels the pinch of outdoor water restrictions,https://globalnews.ca/news/10622301/calgary-irrigation-company-feels-the-pinch-of-outdoor-water-restrictions/,neutral,0.04047267,0.14856833,0.81095886,-0.020434526698636546
Global,2024-07-14,Canadian real estate market changes,https://globalnews.ca/video/10623042/canadian-real-estate-market-changes/,neutral,0.078000486,0.0637574,0.85824215,0.002019069567471554
Global,2024-07-14,Struggling with money? What you can do to tackle mounting debt,https://globalnews.ca/video/10620999/struggling-with-money-what-you-can-do-to-tackle-mounting-debt/,negative,0.04519062,0.3422709,0.6125384,-0.11510720079449754
Global,2024-07-14,Company in Canada plans massive wind farm to power green hydrogen project,https://globalnews.ca/video/10622625/company-in-canada-plans-massive-wind-farm-to-power-green-hydrogen-project/,positive,0.24038157,0.014914584,0.7447039,0.057560843567662445
