source,date,headline,url,chosen_label,positive,negative,neutral,compound
Global,2024-08-05,Fans heartbroken after women’s Olympic soccer loss,https://globalnews.ca/news/10680461/fans-heartbroken-after-womens-olympic-soccer-loss/,negative,0.01067699,0.86978024,0.119542755,-0.7564036914444876
Global,2024-08-05,Crowd loudly boos convicted child rapist Steven van de Velde at Olympics,https://globalnews.ca/news/10674868/steven-van-de-velde-booed-olympics-child-rapist-beach-volleyball/,negative,0.010734851,0.68896466,0.30030048,-0.4745570723943615
Global,2024-08-05,An aerial view of the Chilcotin River landslide.,https://globalnews.ca/video/10677806/an-aerial-view-of-the-chilcotin-river-landslide/,neutral,0.05130701,0.059326727,0.8893662,-0.0008872515297024819
Global,2024-08-05,Big crowds coming out for Van Pride Fest,https://globalnews.ca/video/10680135/big-crowds-coming-out-for-van-pride-fest/,positive,0.7914958,0.0041848035,0.20431939,0.6264481125057078
Global,2024-08-05,Pilot recounts mid-air near miss experienced at Pitt Meadows Airport,https://globalnews.ca/video/10681172/pilot-recounts-mid-air-near-miss-experienced-at-pitt-meadows-airport/,negative,0.016583666,0.31261784,0.67079854,-0.09745487675102993
Global,2024-08-05,Atlantic firefighters head west to tackle Jasper wildfires,https://globalnews.ca/video/10681008/atlantic-firefighters-head-west-to-tackle-jasper-wildfires/,neutral,0.04872769,0.05862778,0.8926446,-0.0010628282091917907
Global,2024-08-05,Caribana weekend 2024: Caribbean Carnival parade takes over Toronto,https://globalnews.ca/video/10680479/caribana-weekend-2024-caribbean-carnival-parade-takes-over-toronto/,positive,0.26634616,0.0041122506,0.7295416,0.07092336458621062
Global,2024-08-05,How A Greener Future is cleaning up Ontario’s beaches,https://globalnews.ca/video/9052823/how-a-greener-future-is-cleaning-up-ontarios-beaches/,neutral,0.1568419,0.09540417,0.7477538,0.015497434868566362
Global,2024-08-05,Canadian athletes shine at half-way point of 2024 Summer Olympics,https://globalnews.ca/news/10680727/canadian-athletes-2024-summer-olympics-half/,positive,0.65262884,0.003050422,0.3443207,0.42591509629140845
Global,2024-08-05,"Peter Nygard sentencing pushed to September, judge rules",https://globalnews.ca/news/10677156/peter-nygard-sentencing/,neutral,0.023874737,0.07571386,0.9004115,-0.005162580963756547
